,Name,POS,Dollars,PA,HR,R,RBI,SB,OBP,SLG,OPS,wOBA
0,Ronald Acuna Jr.,OF,65.74029321514793,658.845,35.2782,119.899,92.9023,51.5591,0.402163,0.566034,0.968197,0.409484
1,Aaron Judge,OF/DH,53.50641685595097,600.231,43.6953,99.8445,106.164,6.396059999999999,0.39474899999999996,0.585756,0.980505,0.408204
2,Juan Soto,OF,52.78647843673465,664.0319999999999,36.6916,104.499,100.075,10.6219,0.41991999999999996,0.54445,0.9643700000000001,0.408576
3,Yordan Alvarez,OF/DH,49.486260763034274,598.905,38.6218,95.3077,106.54299999999999,0.727507,0.39750100000000005,0.593411,0.9909110000000001,0.413988
4,Shohei Ohtani,P/DH,49.14914093509564,608.746,37.9307,101.09200000000001,98.7215,18.5215,0.384617,0.572624,0.95724,0.399017
5,Matt Olson,1B,45.86578967070253,662.5239999999999,40.1822,101.78399999999999,111.749,1.13825,0.367721,0.536192,0.903914,0.380945
6,Mookie Betts,2B/OF,44.709398783960545,661.015,32.7371,110.656,93.9382,13.078,0.377949,0.5269699999999999,0.904918,0.385033
7,Freddie Freeman,1B,42.47007143633587,676.9839999999999,25.7609,108.443,96.0618,14.9927,0.391538,0.512652,0.9041899999999999,0.384281
8,Kyle Tucker,OF,41.52857957998348,643.696,30.6987,94.4452,103.23,25.5843,0.359514,0.5170170000000001,0.876531,0.370064
9,Fernando Tatis Jr.,OF,39.74133187854032,646.629,33.2361,98.3878,93.4179,28.3614,0.34591500000000003,0.511808,0.8577229999999999,0.363854
10,Julio Rodriguez,OF,38.85085833251896,662.488,31.5195,98.6218,91.4779,32.1964,0.344534,0.5035029999999999,0.848038,0.359647
11,Bryce Harper,1B/DH,38.587097755635284,632.601,29.2546,95.4249,92.3092,12.6777,0.389181,0.5189199999999999,0.9081,0.38448499999999997
12,Austin Riley,3B,38.41000912906173,669.3389999999999,38.0085,100.294,103.365,2.40041,0.349542,0.5321279999999999,0.8816700000000001,0.371787
13,Bobby Witt Jr.,SS,37.74349282212425,657.063,29.163,98.56200000000001,89.7456,42.0209,0.327047,0.502249,0.8292959999999999,0.350521
14,Pete Alonso,1B,37.61089514267246,648.721,41.1585,89.0545,109.81700000000001,3.61803,0.340439,0.515759,0.8561979999999999,0.360259
15,Corbin Carroll,OF,36.01923321738297,630.894,23.4116,100.995,76.2728,45.4926,0.358533,0.48963500000000004,0.8481690000000001,0.363102
16,Rafael Devers,3B,35.633505813938996,650.873,34.9313,93.4988,100.369,4.45731,0.356621,0.5290229999999999,0.8856440000000001,0.372787
17,Kyle Schwarber,OF/DH,34.52144658700505,648.226,40.8547,95.7727,97.2977,3.3936599999999997,0.34673699999999996,0.49083999999999994,0.837576,0.357695
18,Vladimir Guerrero Jr.,1B/DH,32.47858760425593,662.932,31.4256,89.4297,97.7772,5.57388,0.36094499999999996,0.501319,0.8622639999999999,0.36685500000000004
19,Jose Ramirez,3B/DH,31.79609770471132,657.0060000000001,26.4043,90.2731,94.126,24.6143,0.356284,0.492812,0.849096,0.358092
20,Corey Seager,SS,29.374051351615147,558.714,29.4897,83.21799999999999,87.59200000000001,2.3819,0.365823,0.541365,0.9071879999999999,0.38153000000000004
21,Mike Trout,OF,29.149871295358814,541.1709999999999,32.6419,83.0205,82.6657,2.8439400000000004,0.369431,0.537981,0.9074120000000001,0.382601
22,Trea Turner,SS,25.933824661030048,666.9730000000001,22.9843,97.7902,82.5016,28.8529,0.332988,0.46184899999999995,0.794837,0.340927
23,Ozzie Albies,2B,25.918644428730488,642.861,26.7296,94.0045,92.9025,13.2761,0.32743099999999997,0.479372,0.806804,0.343107
24,Marcus Semien,2B,25.23805292447269,680.245,26.7663,99.9213,85.4431,14.8857,0.333104,0.46238900000000005,0.795493,0.341588
25,Francisco Lindor,SS,24.48715379666284,654.9580000000001,26.711,91.6362,87.8441,22.4917,0.331818,0.45000200000000007,0.78182,0.336307
26,Randy Arozarena,OF,24.458371151970567,636.622,24.6845,87.8114,80.3323,25.2253,0.350524,0.45560200000000006,0.806127,0.34870500000000004
27,Luis Robert,OF,24.217615340682467,601.702,30.009,84.5579,84.4874,18.8488,0.31909099999999996,0.49236899999999995,0.8114600000000001,0.343541
28,Adolis Garcia,OF,23.95588870524652,632.987,32.0864,90.64399999999999,94.8743,13.06,0.30930100000000005,0.467743,0.777044,0.33098
29,Nolan Jones,OF,23.15270057443047,578.804,23.7386,81.2188,77.9863,19.1304,0.36019,0.48135,0.84154,0.36087800000000003
30,Jose Altuve,2B,22.67483296106061,615.5790000000001,23.7347,96.2901,72.12899999999999,14.5919,0.354213,0.465214,0.819427,0.353981
31,Michael Harris II,OF,22.5184649763474,599.371,22.1577,88.2777,79.3645,23.5029,0.334069,0.481962,0.816032,0.34791
32,Paul Goldschmidt,1B/DH,20.603547332842087,645.078,24.1921,88.1403,84.1864,7.42022,0.357072,0.45112299999999994,0.808194,0.34975
33,Manny Machado,3B/DH,20.019013785891996,606.28,28.6428,79.8078,91.9528,5.9653599999999996,0.335938,0.47955699999999996,0.815495,0.34636500000000003
34,Bryan Reynolds,OF,19.667063839714693,643.138,24.0904,86.215,81.3919,10.0444,0.346565,0.463096,0.809661,0.347604
35,Gunnar Henderson,3B/SS,19.39664065836555,610.359,25.3909,87.0751,81.0741,11.6016,0.340096,0.475966,0.816063,0.349157
36,Christian Walker,1B,19.192043218104867,629.692,27.8403,80.18,90.8854,6.75127,0.331723,0.46191099999999996,0.7936340000000001,0.340041
37,Alex Bregman,3B,19.04230300630081,652.617,22.5889,91.4488,86.4028,2.2814799999999997,0.36526,0.44802700000000006,0.813288,0.35370999999999997
38,Royce Lewis,3B,18.81066134124615,561.036,26.5667,78.0108,82.0674,13.0853,0.335977,0.48849799999999993,0.824475,0.352137
39,Triston Casas,1B,18.268357905778956,579.6,26.9428,76.65100000000001,79.1212,1.06823,0.359441,0.47891300000000003,0.838354,0.36001500000000003
40,Bo Bichette,SS,18.23335844893354,638.465,22.4544,85.831,82.3778,10.8125,0.333505,0.469454,0.802959,0.34421199999999996
41,Christian Yelich,OF/DH,16.509776301648138,629.368,17.5673,90.4156,68.9905,22.2814,0.36133000000000004,0.420724,0.7820550000000001,0.34110799999999997
42,Jazz Chisholm Jr.,OF,16.465419475673677,543.941,24.7893,77.9307,73.3654,28.294,0.31175,0.45804300000000003,0.7697930000000001,0.329016
43,Cody Bellinger,1B/OF,16.366142130082313,589.5740000000001,22.8888,82.7932,82.2858,17.4262,0.322569,0.451517,0.7740859999999999,0.33050300000000005
44,Spencer Torkelson,1B,16.34182058334877,628.247,29.2228,80.1885,84.3286,2.61022,0.327833,0.460534,0.788367,0.338333
45,Matt McLain,2B/SS,16.271236329361653,575.698,21.5747,78.9758,73.1549,19.4685,0.33969499999999997,0.455313,0.795008,0.343188
46,Gleyber Torres,2B,16.21965853829013,621.184,23.5229,82.0013,77.191,12.7263,0.337991,0.449388,0.787379,0.33944
47,Ketel Marte,2B,15.258892867320005,618.779,19.4131,83.7618,76.7345,6.875089999999999,0.350578,0.45746099999999995,0.8080390000000001,0.347941
48,William Contreras,C/DH,15.223234264049337,581.659,22.1564,76.7829,74.0513,4.294980000000001,0.349438,0.459455,0.8088930000000001,0.349072
49,Max Muncy,3B,15.100906780884245,552.3530000000001,28.3289,79.0179,82.8645,1.87726,0.342861,0.45542200000000005,0.798284,0.344242
50,Dansby Swanson,SS,14.621718050940855,645.378,23.6883,84.6172,82.23200000000001,11.6771,0.3263,0.4354,0.7617,0.329113
51,Anthony Santander,OF/DH,13.940361460163533,613.289,28.256999999999998,76.2563,86.87700000000001,3.08272,0.315868,0.459107,0.7749739999999999,0.33159
52,Oneil Cruz,SS,13.93587397635005,566.5740000000001,23.096,79.8129,71.6169,21.7937,0.317931,0.44864,0.766571,0.328511
53,Seiya Suzuki,OF,13.927793503414819,576.278,21.3965,75.686,73.89399999999999,8.290939999999999,0.350724,0.464933,0.815656,0.34971599999999997
54,Will Smith,C,13.898801608459904,516.893,21.3506,70.4577,75.0338,2.05799,0.354608,0.46792799999999996,0.822536,0.353112
55,Willy Adames,SS,13.71453425091326,618.427,26.7094,77.9559,84.9707,6.4307300000000005,0.319905,0.44491800000000004,0.7648229999999999,0.32861599999999996
56,Marcell Ozuna,DH,13.592056314206774,544.069,29.6404,71.9694,82.666,0.928643,0.32365900000000003,0.48536999999999997,0.809029,0.34454
57,Elly De La Cruz,3B/SS,13.252721674355755,575.3330000000001,20.5571,81.4443,69.0447,37.225,0.31038899999999997,0.438459,0.748848,0.320292
58,Rhys Hoskins,1B,13.228769410211653,574.957,26.7899,74.4139,78.5211,2.28277,0.33571799999999996,0.459075,0.7947930000000001,0.34265999999999996
59,Adley Rutschman,C/DH,13.202364488788593,603.502,18.4496,78.0364,69.7483,2.2818,0.36745,0.44248699999999996,0.809936,0.351957
60,Jorge Soler,OF/DH,13.185549829213633,555.937,29.078000000000003,71.1865,77.0572,0.8662920000000001,0.332358,0.47002299999999997,0.802381,0.343342
61,Yandy Diaz,1B,13.085284528954976,589.716,16.8968,81.163,67.8892,1.3763299999999998,0.38497600000000004,0.451737,0.8367129999999999,0.365304
62,Teoscar Hernandez,OF/DH,12.984836663634102,564.7959999999999,26.2359,71.5308,84.3559,6.9228,0.313156,0.46879399999999993,0.78195,0.333129
63,Nolan Gorman,2B/DH,12.351381533186016,529.398,27.9294,70.3696,76.1245,6.72558,0.318227,0.464128,0.782355,0.33482199999999995
64,Christian Encarnacion-Strand,1B/DH,12.270724444706307,509.99300000000005,26.0458,66.3162,79.0309,2.8692900000000003,0.324842,0.490832,0.815674,0.346721
65,Nolan Arenado,3B,12.213768960965545,617.432,25.6142,74.2212,90.6669,3.5971699999999998,0.32105700000000004,0.457391,0.7784479999999999,0.331447
66,Josh Naylor,1B/DH,12.185122324147285,563.932,21.0714,64.8758,86.3052,8.28101,0.33599,0.46295,0.798941,0.33955
67,Xander Bogaerts,SS,11.792938858481353,632.817,18.1559,81.3425,70.7079,12.4638,0.348596,0.435803,0.7843979999999999,0.340408
68,Ian Happ,OF,11.523042470667715,626.332,20.0153,78.8387,75.4198,11.2739,0.345792,0.426379,0.772171,0.336121
69,Brandon Nimmo,OF,11.503697950088535,636.249,18.8914,85.6756,65.0497,4.12383,0.362487,0.440474,0.802962,0.350573
70,Nick Castellanos,OF,11.229973535765488,613.549,24.2216,74.8587,86.0615,7.51847,0.309818,0.451568,0.761387,0.325357
71,Jake Burger,3B/DH,11.198235628397043,579.073,30.0151,71.2039,81.2042,1.30701,0.311046,0.478901,0.7899470000000001,0.335845
72,George Springer,OF/DH,11.054544150902775,586.997,21.6663,80.8092,69.4944,13.5928,0.332785,0.435621,0.768407,0.332859
73,Christopher Morel,OF/DH,10.18289007903097,529.453,25.6677,70.8389,72.8044,10.1764,0.31062,0.465156,0.775776,0.33111599999999997
74,Vinnie Pasquantino,1B,10.165625261697606,562.219,20.3296,68.154,73.4633,1.43393,0.355148,0.46746099999999996,0.822609,0.353204
75,J.T. Realmuto,C,9.82717262620678,527.4209999999999,19.8907,69.0957,69.5975,14.9181,0.321002,0.447147,0.7681479999999999,0.32912600000000003
76,Taylor Ward,OF,9.51079076200649,540.5169999999999,20.1254,74.1863,68.4067,5.50212,0.348608,0.453401,0.802009,0.346794
77,Josh Jung,3B,9.338156399576436,584.5,25.9188,74.3663,81.3491,3.00743,0.313121,0.461697,0.774818,0.331047
78,Spencer Steer,1B/3B/OF,8.81601633818001,583.269,19.9877,71.8918,74.5915,9.47551,0.336134,0.43824300000000005,0.7743770000000001,0.335768
79,Andres Gimenez,2B,8.665728560378701,592.629,16.3073,75.6258,65.6788,26.5456,0.327218,0.421862,0.749079,0.324044
80,Willson Contreras,C/DH,8.440957934083956,485.325,20.5224,63.033,64.3721,5.074669999999999,0.349088,0.456838,0.8059270000000001,0.349139
81,Masataka Yoshida,OF/DH,8.377020611176599,572.202,15.8705,71.14399999999999,72.6964,5.89085,0.354083,0.45022,0.804303,0.347238
82,CJ Abrams,SS,8.061622931155348,613.109,15.5129,83.4237,61.787,40.8432,0.304379,0.402331,0.7067100000000001,0.30561900000000003
83,Evan Carter,OF,7.8534072245490325,565.332,15.7803,74.3851,63.5386,18.3865,0.35023699999999997,0.42131199999999996,0.7715489999999999,0.336135
84,Nico Hoerner,2B/SS,7.562197529372119,640.571,9.13216,84.0191,61.7602,34.2493,0.34315999999999997,0.39016100000000004,0.733322,0.321832
85,Riley Greene,OF,7.541178380323672,588.658,16.9657,77.4783,64.8003,9.79107,0.343015,0.44229300000000005,0.785307,0.33962
86,Byron Buxton,DH,7.456569963387129,464.454,25.7631,68.6353,64.7367,10.5291,0.30754000000000004,0.48472,0.7922600000000001,0.33563200000000004
87,Ryan McMahon,2B/3B,7.427533320640657,596.323,21.9552,74.7185,72.5656,6.05396,0.32681,0.42890100000000003,0.75571,0.32707600000000003
88,Lane Thomas,OF,7.309819989736375,605.377,21.2203,78.76,69.8042,15.767999999999999,0.30983,0.429932,0.7397630000000001,0.318623
89,Nathaniel Lowe,1B,7.2621046143823484,595.164,18.2326,73.3915,71.1596,2.09809,0.353664,0.43377200000000005,0.7874369999999999,0.34255399999999997
90,Jack Suwinski,OF,7.183776496807741,513.066,23.771,64.4634,67.2097,9.9672,0.330307,0.444428,0.7747350000000001,0.334228
91,Sean Murphy,C,7.170505196384963,468.99800000000005,20.3433,62.8194,64.9103,0.274503,0.346564,0.464034,0.8105979999999999,0.349946
92,Chas McCormick,OF,7.067109502243872,517.596,20.1941,66.8194,67.5148,15.9151,0.330732,0.433558,0.7642899999999999,0.33103
93,Kerry Carpenter,OF/DH,6.5991931476064325,534.443,22.7313,66.1066,72.4734,5.51251,0.320276,0.45610900000000004,0.776385,0.331702
94,Tyler O'Neill,OF,6.3922396682396165,490.217,21.5643,65.3064,63.5088,12.2977,0.326841,0.454179,0.7810199999999999,0.33612800000000004
95,Cedric Mullins II,OF,6.284606815782057,566.835,18.4891,72.47399999999999,64.518,25.7698,0.313734,0.420684,0.734418,0.31700500000000004
96,Logan O'Hoppe,C,6.204317853258659,479.60699999999997,22.9022,58.0168,66.2256,2.3263599999999998,0.328818,0.46253199999999994,0.79135,0.339571
97,Carlos Correa,SS,6.142798739032228,581.735,20.686,70.6253,71.5978,0.24922399999999997,0.339025,0.43946199999999996,0.778487,0.336404
98,Isaac Paredes,1B/3B,6.020251538075947,541.342,23.878,65.9326,75.3049,0.865851,0.335598,0.446514,0.782112,0.338618
99,Wyatt Langford,OF,5.763965388095733,505.665,18.0958,64.3998,64.2384,13.4455,0.33958699999999997,0.44482299999999997,0.784409,0.338955
100,Salvador Perez,C/1B/DH,5.743478007044081,540.2280000000001,24.6184,61.0037,81.0388,0.171991,0.296592,0.448941,0.745533,0.316271
101,Ryan Mountcastle,1B/DH,5.4809610541581835,536.529,21.8979,65.6485,72.9659,3.6835199999999997,0.322006,0.450917,0.7729229999999999,0.330569
102,Cal Raleigh,C,5.268954227023328,508.699,26.4122,61.5203,70.9377,0.754912,0.297546,0.45450799999999997,0.752054,0.320678
103,Josh Lowe,OF/DH,5.251396529056073,513.806,16.3166,65.2809,65.373,24.8272,0.31700300000000003,0.43339700000000003,0.7504,0.322291
104,Zack Gelof,2B,4.785706419824341,591.673,19.4057,72.5173,62.6906,20.7899,0.315573,0.41387799999999997,0.7294510000000001,0.316371
105,Anthony Volpe,SS,4.773455434817863,573.244,19.4717,70.6776,63.9912,24.4022,0.309008,0.41255200000000003,0.721561,0.313091
106,Matt Chapman,3B,4.596746930526264,578.9540000000001,23.6543,71.2153,69.6403,3.33501,0.326791,0.43797299999999995,0.764763,0.330907
107,Jeimer Candelario,1B/3B,4.436292441093565,558.994,20.217,70.6755,73.0305,4.575,0.32760300000000003,0.441387,0.76899,0.331862
108,Brandon Lowe,2B,4.405224898151305,475.745,21.6173,62.4918,64.8714,5.86969,0.32637,0.449167,0.775537,0.334388
109,Andrew Vaughn,1B,4.331330838961433,595.08,21.8362,68.3738,76.1173,0.189929,0.31966,0.439691,0.759351,0.327113
110,MJ Melendez,OF,4.247988389110174,557.4490000000001,20.4753,70.6137,64.7918,5.00919,0.329432,0.438425,0.767857,0.331048
111,Francisco Alvarez,C,4.237831952989722,479.311,24.6378,57.8442,67.4904,2.11668,0.311675,0.44481400000000004,0.7564890000000001,0.325358
112,Josh Bell,1B/DH,4.2003505033203785,592.6469999999999,20.2623,67.7139,72.6334,0.402242,0.33965500000000004,0.425387,0.765041,0.33225
113,Brandon Drury,1B/2B,4.165029933349366,526.582,23.0951,65.3305,74.232,1.41921,0.302799,0.454096,0.756895,0.323347
114,Yainer Diaz,C/DH,4.056292695248504,447.62699999999995,21.2282,56.0688,67.4136,0.787995,0.309125,0.481429,0.790554,0.335202
115,Daulton Varsho,OF,4.049651748382752,553.393,22.5056,69.7258,67.7014,15.1226,0.29982600000000004,0.426079,0.725904,0.312243
116,T.J. Friedl,OF,4.007028109757905,545.352,15.0335,72.1866,58.4944,21.7406,0.330497,0.41817200000000004,0.7486689999999999,0.325166
117,Jorge Polanco,2B,3.9229667982842154,536.637,20.9611,65.404,68.4818,6.15404,0.32455500000000004,0.43033000000000005,0.754884,0.326692
118,Ke'Bryan Hayes,3B,3.9046559432738936,590.244,17.4592,72.6575,68.1811,14.4647,0.32203699999999996,0.43624799999999997,0.7582840000000001,0.326442
119,Jordan Walker,OF,3.702323900614765,544.59,17.7392,65.9375,63.7693,10.2015,0.334542,0.438433,0.772975,0.334034
120,James Outman,OF,3.5924655505682046,525.151,18.6938,71.7802,63.729,12.2491,0.326617,0.413545,0.740163,0.323013
121,Edouard Julien,2B/DH,3.5771514216909868,550.3330000000001,16.4062,73.2538,54.6074,7.98804,0.360018,0.40902,0.769038,0.33915700000000004
122,Jonathan India,2B,3.4878890131858347,513.247,16.0192,69.0593,59.0901,11.2868,0.34526,0.42052700000000004,0.765787,0.335092
123,Eloy Jimenez,DH,3.4462454323808123,522.021,22.5203,60.1343,72.8848,0.13617100000000001,0.326932,0.46465100000000004,0.791583,0.338557
124,Jarren Duran,OF,3.3632566502389616,526.006,13.1594,71.1901,54.4973,28.3,0.321235,0.426875,0.74811,0.322764
125,Max Kepler,OF,3.357978768622937,518.679,20.4424,67.3365,65.4173,3.52132,0.327964,0.44128599999999996,0.769249,0.331852
126,Ha-seong Kim,2B/3B/SS,3.077053519955463,601.877,14.5825,73.2614,60.6251,26.901999999999997,0.327384,0.38463800000000004,0.712023,0.313232
127,Luis Arraez,2B,2.771400705727032,615.071,7.7537199999999995,75.0654,61.6979,4.02422,0.370059,0.425446,0.795505,0.344649
128,Eugenio Suarez,3B,2.5974573843587745,593.05,22.7089,68.1883,79.3906,1.01391,0.322731,0.413729,0.73646,0.320899
129,Lars Nootbaar,OF,2.5490446717733763,480.655,16.4889,66.6768,53.8412,8.805019999999999,0.354243,0.434123,0.788367,0.342548
130,Ezequiel Tovar,SS,2.1451364752898496,604.908,15.9615,77.2209,69.9727,13.2658,0.304479,0.41829799999999995,0.7227779999999999,0.311215
131,J.D. Martinez,DH,2.1153395202472107,466.715,21.499000000000002,58.5011,70.9307,0.759785,0.319749,0.47293100000000005,0.79268,0.337046
132,Lourdes Gurriel Jr.,OF/DH,2.0197817189500844,543.31,16.4664,64.4738,70.2019,4.523619999999999,0.32602800000000004,0.444115,0.770143,0.331225
133,Trevor Story,SS,1.8655650751438588,501.069,18.1891,64.3407,62.4827,19.7191,0.304604,0.421575,0.726179,0.31235300000000005
134,Brent Rooker,OF/DH,1.7303591279653496,518.744,24.5385,59.4471,66.635,3.56032,0.312235,0.438691,0.750926,0.323336
135,Giancarlo Stanton,OF/DH,1.5820508095903858,434.556,25.7589,51.9796,67.3914,0.0907444,0.30904699999999996,0.463711,0.772758,0.329014
136,Jose Abreu,1B,1.4755014912546764,582.549,18.0024,67.6154,78.7354,0.37655900000000003,0.324234,0.412209,0.7364430000000001,0.320011
137,Bryson Stott,2B,1.4290535063325176,584.195,12.7601,72.1645,61.6657,22.1442,0.32201,0.401251,0.7232609999999999,0.314346
138,Alec Bohm,1B/3B,1.0,594.993,16.2321,71.3524,76.4423,3.96896,0.325788,0.419191,0.744978,0.322279
139,Bryan De La Cruz,OF,1.0,561.169,19.6496,62.9606,69.0742,4.3185199999999995,0.315182,0.439032,0.754214,0.32360300000000003
140,Anthony Rizzo,1B,1.0,508.731,20.6367,63.4957,63.6358,3.27303,0.32945599999999997,0.423271,0.752727,0.327345
141,Zach Neto,SS,1.0,534.0319999999999,17.5782,65.6395,62.7136,9.8152,0.325705,0.41857,0.744275,0.323689
142,Thairo Estrada,2B/SS,1.0,567.548,14.8332,70.6279,59.0492,22.8111,0.315129,0.40265,0.717779,0.312279
143,Mitch Garver,C/DH,1.0,441.101,20.6435,53.9992,59.2352,0.9405459999999999,0.33066599999999996,0.44213199999999997,0.772798,0.33435
144,Jung Hoo Lee,OF,0.6760540424678668,582.488,9.88824,70.294,59.583,8.844,0.352375,0.425957,0.778331,0.337534
145,Joc Pederson,OF/DH,0.005050441816880302,425.986,17.9061,55.2921,58.5036,1.27149,0.345306,0.460013,0.80532,0.345146
146,Kris Bryant,OF/DH,-0.7330473111487732,489.031,16.5091,63.2624,55.4745,2.29049,0.341907,0.441141,0.783048,0.33976799999999996
147,Jarred Kelenic,OF,-0.8095717153705384,484.905,16.2846,61.9541,59.8104,13.7748,0.31656,0.421229,0.737789,0.317799
148,Nelson Velazquez,OF,-1.01684049072212,403.461,23.0866,50.6555,53.8134,6.2358199999999995,0.30378299999999997,0.479548,0.783331,0.332
