,Name,POS,Dollars,IP,ERA,WHIP,K/9,QS,SV,HLD,K-BB%,PL Rank,Eno
0,Spencer Strider,SP,34.567932144423374,178.53,3.38505,1.08112,12.6389,14.767000000000001,0.0,0.0,0.2670500800013542,1.0,1.0
1,Gerrit Cole,SP,25.905060885165163,170.138,3.53343,1.0982100000000001,10.0542,14.823,0.0,0.0,0.21482814103364944,,3.0
2,Zack Wheeler,SP,25.745156401212387,184.861,3.51957,1.11811,9.349110000000001,16.2351,0.0,0.0,0.1972390338778496,3.0,4.0
3,George Kirby,SP,25.703458393758307,181.274,3.56805,1.0900100000000001,8.48299,15.0832,0.0,0.0,0.19706101715564728,6.0,5.0
4,Kevin Gausman,SP,24.51221331573377,178.88299999999998,3.4295,1.14911,10.4758,15.3542,0.0,0.0,0.22109907865524286,7.0,6.0
5,Corbin Burnes,SP,23.5512902822047,185.989,3.52987,1.14015,9.67062,15.9059,0.0,0.0,0.18845998495817184,2.0,2.0
6,Pablo López,SP,23.118306161675925,183.02200000000002,3.5211099999999997,1.1408399999999999,9.937669999999999,14.7933,0.0,0.0,0.20526088029146194,4.0,11.0
7,Tarik Skubal,SP,22.584274226563483,155.707,3.4411099999999997,1.11859,10.2849,11.9563,0.0,0.0,0.2167281210422516,10.0,14.0
8,Logan Webb,SP,22.516486867318047,193.06099999999998,3.41695,1.16008,8.03704,16.4895,0.0,0.0,0.16612105444073674,8.0,9.0
9,Luis Castillo,SP,21.86409730661137,188.203,3.53585,1.15272,9.55026,15.3589,0.0,0.0,0.1853462979197502,,7.0
10,Tyler Glasnow,SP,21.175515928474518,139.599,3.4954400000000003,1.1073,11.3757,10.9089,0.0,0.0,0.2366406098008156,11.0,10.0
11,Zach Eflin,SP,20.372879723852954,165.49099999999999,3.63597,1.10601,8.732460000000001,12.9458,0.00300781,0.0,0.19648456200957296,17.0,18.0
12,Framber Valdez,SP,19.412875419916123,189.398,3.39395,1.20182,8.95412,16.7381,0.0,0.0,0.16121874749660492,22.0,21.0
13,Edwin Díaz,RP,17.935338643171036,61.952,2.71248,1.04962,14.0657,0.0,33.0487,0.745309,0.3040759116411209,,
14,Freddy Peralta,SP,17.682359868798738,161.602,3.7013,1.14078,10.8175,12.4974,0.0,0.0,0.2099605947732925,20.0,17.0
15,Max Fried,SP,17.587011882226648,162.143,3.40246,1.17638,8.64071,13.3483,0.0,0.0,0.17393312603235245,13.0,23.0
16,Zac Gallen,SP,17.416396925151144,185.53799999999998,3.68718,1.15804,9.24047,14.7749,0.0,0.0,0.18438605219125748,12.0,13.0
17,Yoshinobu Yamamoto,SP,17.261342237573434,165.83599999999998,3.6859800000000003,1.12676,9.5568,10.5517,0.0,0.0,0.19581322371959686,16.0,8.0
18,Aaron Nola,SP,16.66999306679776,186.329,3.89572,1.12475,9.43005,13.7929,0.0,0.0,0.20452779904007912,14.0,22.0
19,Logan Gilbert,SP,16.152343090702356,183.963,3.8153900000000003,1.13846,8.96616,13.9959,0.0,0.0,0.18884387984871864,31.0,12.0
20,Joe Musgrove,SP,14.828574807551412,153.164,3.6496800000000005,1.15553,8.954419999999999,13.0236,0.0,0.0,0.17922823503613472,,24.0
21,Jhoan Duran,RP,14.430464152177839,64.0787,2.8115,1.13265,12.0192,0.0,32.7852,1.96595,0.2411108613014221,,
22,Emmanuel Clase,RP,12.903362223972387,66.0865,2.99775,1.10734,8.80287,0.0,34.0998,0.9308350000000001,0.18555447086691856,,
23,Pete Fairbanks,RP,12.581407441198294,53.5876,2.87102,1.10514,12.4823,0.0,29.1563,2.9963900000000003,0.2473679259419441,,
24,Andrés Muñoz,RP,12.574145273046167,58.4123,2.94599,1.1275700000000002,12.0209,0.0,28.432,4.18542,0.2364556938409805,,
25,Mason Miller,SP,12.17178725188577,60.0654,3.3509300000000004,1.1589399999999999,11.5993,0.24272,14.5373,7.579969999999999,0.21333566308021545,,
26,Joe Ryan,SP,11.7564031722759,163.349,3.9996,1.13652,9.98271,11.6582,0.0,0.0,0.208740659058094,30.0,40.0
27,Josh Hader,RP,11.754336081604409,59.0476,3.0824599999999998,1.15929,13.0463,0.0,34.2336,2.1389299999999998,0.2441166192293167,,
28,Grayson Rodriguez,SP,11.533230174765393,159.75,3.71023,1.18149,9.68795,10.7376,0.0,0.0,0.1814953684806824,18.0,16.0
29,Evan Phillips,RP,11.357171070658845,61.8167,3.20771,1.11104,10.1397,0.0,28.1214,4.48038,0.20346231758594516,,
30,Bobby Miller,SP,11.079836564179427,152.058,3.8241699999999996,1.14845,8.841280000000001,10.3192,0.0,0.0,0.17207562923431394,15.0,15.0
31,Jason Adam,RP,10.631317448298974,56.6827,3.30669,1.09449,10.8388,0.0,10.7026,13.8361,0.21221493184566495,,
32,Devin Williams,RP,10.586038096421154,57.0031,2.87091,1.1659899999999999,12.7014,0.0,28.6432,1.6653799999999999,0.22953615337610245,,
33,Chris Sale,SP,10.442189742761304,129.958,3.81776,1.15109,10.5899,8.76138,0.0,0.0,0.21512751281261444,25.0,34.0
34,Bryan Abreu,RP,10.381369329402565,63.2419,3.02285,1.18767,12.0918,0.0,3.20935,17.3512,0.21867939084768293,,
35,Blake Snell,SP,10.122124756664794,156.317,3.49707,1.26595,11.4079,12.6415,0.0,0.13138699999999998,0.18621113151311874,32.0,19.0
36,Jesús Luzardo,SP,10.096931067167981,168.296,3.7766699999999997,1.20862,10.2146,13.2695,0.0,0.0,0.19468913972377774,34.0,29.0
37,Raisel Iglesias,RP,9.836341512802896,60.622,3.33239,1.1242,10.8004,0.0,30.7162,2.3226299999999998,0.2327084094285965,,
38,Michael King,SP,9.643975392685055,139.765,3.59006,1.20465,9.89969,8.09305,0.23569600000000002,0.801195,0.1836145296692848,29.0,28.0
39,Shane Bieber,SP,9.375577014485431,166.24599999999998,3.7777800000000004,1.19803,8.51673,13.7824,0.0,0.0,0.16698569059371948,49.0,36.0
40,Ryan Helsley,RP,9.17107976521148,60.6776,3.13329,1.1737799999999998,11.7904,0.0,25.7423,3.8193699999999997,0.21573621779680247,,
41,Eury Pérez,SP,9.128509304670082,141.375,3.83321,1.1727299999999998,10.2622,9.16456,0.0,0.0,0.1975490227341652,19.0,20.0
42,Ryan Pressly,RP,8.708032129921866,61.5318,3.39245,1.12752,10.0185,0.0,4.81743,15.8504,0.20740700513124466,,
43,José Alvarado,RP,8.575851485491668,63.1847,3.0941,1.24299,12.3144,0.0,23.4801,7.2826699999999995,0.21469926834106445,,
44,David Bednar,RP,8.527354310410132,60.9957,3.23837,1.16727,10.725,0.0,29.386,2.19651,0.21058668196201324,,
45,Tanner Bibee,SP,8.463743328217177,164.322,3.75691,1.20715,9.18934,11.6267,0.0,0.0,0.17269183695316315,36.0,43.0
46,Justin Steele,SP,8.217658968884825,170.717,3.6671099999999996,1.23199,8.746939999999999,13.3309,0.0,0.0,0.16203168034553528,,25.0
47,Matt Strahm,SP/RP,8.17547733534948,65.3546,3.6484199999999998,1.14143,10.6008,0.0,1.4345,9.43962,0.21868417412042615,,
48,Tanner Scott,RP,8.06958859912725,66.3007,3.19923,1.21716,11.8911,0.0,26.5385,3.78765,0.21246132254600525,,
49,Hunter Harvey,RP,7.5444155184361135,59.9635,3.54857,1.15151,10.0045,0.0,12.9859,13.027000000000001,0.20197474211454391,,
50,A.J. Minter,RP,7.51229818039971,61.0648,3.45848,1.17765,11.1705,0.0,4.58833,17.1301,0.2219893261790276,,
51,Sonny Gray,SP,7.199484319086476,160.833,3.6691800000000003,1.23171,8.559,12.2359,0.0,0.0,0.14962667971849442,27.0,35.0
52,Brusdar Graterol,RP,6.717271604223491,60.1128,3.25433,1.17436,7.44269,0.0,5.396730000000001,15.4543,0.14081596210598946,,
53,Erik Swanson,RP,6.620614482832775,61.1258,3.5424800000000003,1.1585,10.062000000000001,0.606006,5.368040000000001,14.9142,0.19989598542451856,,
54,Camilo Doval,RP,6.582764685915688,63.7484,3.29135,1.23292,10.9633,0.0,31.644000000000002,1.7053200000000002,0.1903441920876503,,
55,Clay Holmes,RP,6.343103487368518,62.9712,3.3158300000000005,1.22409,9.45068,0.0,28.7152,3.9510199999999998,0.1618780717253685,,
56,Nestor Cortes,SP,6.333786789959299,129.141,3.96686,1.16225,9.16958,8.61121,0.0,0.22740900000000003,0.17838042229413986,43.0,67.0
57,Jordan Romano,RP,6.246375685121027,58.4722,3.39005,1.19064,10.595,0.0,30.4733,1.17408,0.19684866070747373,,
58,Robert Stephenson,RP,5.951942489696903,57.3053,3.8125400000000003,1.12713,11.2117,0.0,12.8271,11.0516,0.2312217727303505,,
59,Caleb Ferguson,SP/RP,5.668082602588331,55.596000000000004,3.48409,1.2733700000000001,10.2722,0.0,1.35886,13.0316,0.17492707818746567,,
60,Chris Martin,RP,5.622298511835886,58.5507,3.4288199999999995,1.17563,8.87268,0.0,3.23855,15.8573,0.1946280226111412,,
61,Shawn Armstrong,SP/RP,5.620724822738434,60.6489,3.6376199999999996,1.19487,9.337539999999999,0.0,0.783293,10.1677,0.18106407672166824,,
62,Adbert Alzolay,RP,5.508200517265713,63.1241,3.58039,1.16682,9.79233,0.0,27.0736,2.22209,0.19645266979932785,,
63,Max Scherzer,SP,5.472381429034371,80.59,3.8927699999999996,1.14339,10.164,6.60762,0.0,0.0,0.21003399789333346,,80.0
64,Paul Sewald,RP,5.443381705063347,61.4314,3.7021900000000003,1.1797600000000001,10.9332,0.0,29.773000000000003,2.42795,0.20642288774251935,,
65,Bailey Ober,SP,5.4027729848479815,154.513,4.06911,1.16846,8.77009,10.3557,0.0,0.0,0.1821765713393688,24.0,44.0
66,Yu Darvish,SP,4.799686906310644,141.662,4.1035,1.17462,9.076889999999999,11.08,0.0,0.0,0.1778094321489334,28.0,32.0
67,Carlos Rodón,SP,4.601588634102809,138.109,4.075819999999999,1.18716,10.2328,9.84051,0.0,0.0,0.1930331140756607,72.0,31.0
68,Yuki Matsui,RP,4.514157561719262,61.0723,3.48844,1.23557,11.5257,0.0,12.29,10.9822,0.20470767468214035,,
69,Bryan Woo,SP,4.399805874743695,133.541,3.93716,1.19451,9.61302,7.72474,0.0,0.24933200000000003,0.17876861989498138,26.0,38.0
70,Tim Mayza,RP,3.9624968796756033,54.9092,3.2781599999999997,1.22912,8.914010000000001,0.0,0.36736199999999997,16.3201,0.16338802874088287,,
71,Shota Imanaga,SP,3.8349496528609266,147.344,3.87826,1.21288,9.05766,8.53721,0.0,0.0,0.1734618842601776,33.0,37.0
72,Robert Suarez,RP,3.811283371026698,62.8525,3.79242,1.2032399999999999,9.42341,0.0,18.7336,9.27926,0.1611223891377449,,
73,Jordan Montgomery,SP,3.7570360404969807,165.293,3.86098,1.22834,8.164819999999999,12.0538,0.0,0.00735272,0.1529507339000702,51.0,41.0
74,Giovanny Gallegos,RP,3.739676154698648,60.5512,3.92438,1.16889,9.8643,0.0,5.422680000000001,15.6071,0.200320728123188,,
75,Justin Verlander,SP,3.5289026054717807,130.44799999999998,3.9596400000000003,1.20169,8.37732,10.1966,0.0,0.0,0.1566954329609871,,30.0
76,Shane Baz,SP,3.5187282715868182,86.8011,3.83554,1.18829,9.68746,5.37344,0.0,0.5653100000000001,0.1834707334637642,,62.0
77,Chris Bassitt,SP,3.492946308918768,180.22,4.00056,1.21835,8.06785,14.8712,0.0,0.0,0.14462558925151825,47.0,50.0
78,Yimi García,RP,3.4693074895625515,57.9673,3.8359300000000003,1.1742,9.69352,0.0,4.3650400000000005,15.263,0.19288726150989527,,
79,Reynaldo López,SP,3.4188516354070067,80.12,3.83757,1.23837,10.0687,2.10906,2.81947,6.9631300000000005,0.1826124489307404,79.0,107.0
80,Walker Buehler,SP,3.3540077918002145,119.90799999999999,3.9210300000000005,1.19414,8.35859,8.092310000000001,0.0,0.0,0.1588129997253418,,64.0
81,Joel Payamps,RP,3.3407778088878675,65.2853,3.71159,1.2212100000000001,8.90265,0.0,5.2392900000000004,16.3561,0.16752877831459045,,
82,Craig Kimbrel,RP,3.332787482056248,63.7723,3.72745,1.21148,11.1809,0.0,24.614,3.1825799999999997,0.19859012216329572,,
83,Matt Brash,RP,3.1722943251337488,51.1932,3.28851,1.25299,12.3842,0.0,7.50214,10.3898,0.21957862377166748,,
84,Gabe Speier,RP,3.118344332231759,56.0904,3.6734699999999996,1.1828,9.77745,0.0,2.4188400000000003,14.362,0.19705074280500406,,
85,Kyle Bradish,SP,3.0873121135019415,86.1744,3.7094300000000002,1.21634,8.82549,6.577719999999999,0.0,0.0,0.16026229411363602,,83.0
86,Aroldis Chapman,RP,3.0568903987290885,56.3169,3.32345,1.3126799999999998,13.4516,0.0,6.543069999999999,13.3907,0.2105102092027664,,
87,Kevin Ginkel,RP,2.919399293045358,62.7939,3.57704,1.23815,9.90957,0.0,5.54962,14.0411,0.17090550810098648,,
88,Héctor Neris,RP,2.8949025226665324,64.6485,3.7846599999999997,1.24024,10.1624,0.0,6.0151900000000005,16.3869,0.17400895059108734,,
89,Kodai Senga,SP,2.8410603659169222,97.4133,3.6886400000000004,1.25753,10.4104,7.489719999999999,0.0,0.0,0.17118370532989502,,87.0
90,Caleb Thielbar,RP,2.7301251961062407,53.1667,3.70644,1.1878799999999998,10.8024,0.0,0.576838,14.8982,0.21503876149654388,,
91,Drew Rasmussen,SP,2.6977697384210413,38.6677,3.3660699999999997,1.14691,8.92958,2.37258,0.0,0.444341,0.17689912021160126,,161.0
92,John Brebbia,SP/RP,2.649396095620681,54.6431,4.21887,1.27662,9.49199,0.0,14.9006,8.81511,0.17017661780118942,,
93,Jeffrey Springs,SP,2.5997316193373425,38.7724,3.5485599999999997,1.14028,10.0889,2.88259,0.0,0.298275,0.20401330292224884,,
94,Colin Poche,RP,2.5544598024108733,58.2785,3.79713,1.2272,9.57477,0.0,2.7715799999999997,17.4645,0.16321749985218048,,
95,Aaron Civale,SP,2.22697334406065,142.58700000000002,4.04689,1.19503,8.423119999999999,8.83498,0.0,0.0,0.16236986964941025,68.0,42.0
96,Joe Jiménez,RP,2.0490750961607627,61.6747,3.8573800000000005,1.20024,11.2577,0.0,1.9232099999999999,14.2246,0.2230309098958969,,
97,Bryce Miller,SP,1.8782510826104108,143.072,4.121090000000001,1.18452,8.250110000000001,8.97748,0.0,0.0,0.16167763620615005,44.0,39.0
98,Braxton Garrett,SP,1.860326687357804,132.798,3.85759,1.23851,8.78512,8.861,0.0,0.0,0.17039841040968895,,45.0
99,Brock Stewart,RP,1.80781532275583,55.6958,3.53379,1.24685,11.3074,0.0,1.3089600000000001,13.6941,0.2019652873277664,,
100,Ryan Pepiot,SP,1.807172641373692,132.45600000000002,3.98883,1.2108299999999999,8.97146,7.64927,0.0,0.25745999999999997,0.15676676481962204,65.0,74.0
101,Andrew Nardi,RP,1.8015931225448976,65.26100000000001,3.68264,1.26556,10.9941,0.0,4.78505,14.5924,0.1910821720957756,,
102,Alex Vesia,RP,1.5704207150873288,55.1475,3.7317,1.21832,11.5204,0.0,1.38713,13.5658,0.21254336833953855,,
103,Yennier Cano,RP,1.4479467161863742,65.1056,3.6913300000000002,1.27209,8.54721,0.0,9.87728,13.8378,0.14818300306797028,,
104,Clayton Kershaw,SP,1.3888156189140528,55.1927,3.74985,1.19513,8.99115,4.03181,0.0,0.0720708,0.17129448056221008,,121.0
105,Alexis Díaz,RP,1.33823826463551,64.6133,3.8485699999999996,1.27566,11.1384,0.0,30.3718,2.38971,0.17469755560159686,,
106,Taylor Rogers,RP,1.0,56.7027,3.83215,1.23855,10.8461,0.0,3.15119,14.3582,0.19953612983226776,,
107,Triston McKenzie,SP,1.0,141.295,4.1260699999999995,1.21004,8.96386,10.1332,0.0,0.0,0.1591591313481331,,84.0
108,Hoby Milner,RP,0.734886938188712,58.8525,3.70781,1.20712,8.5313,0.0,0.39753,13.4157,0.1680319905281067,,
109,Brooks Raley,RP,0.6335618175243227,57.1696,3.81695,1.2810700000000002,9.87218,0.0,2.94408,17.1102,0.1643718034029007,,
110,Hunter Brown,SP,0.5666513679437531,151.858,3.92844,1.2639200000000002,9.69717,10.7787,0.0,0.233864,0.1692475751042366,45.0,53.0
111,Griffin Jax,RP,0.5663885811791949,60.6489,3.98515,1.2186700000000001,9.22749,0.492571,2.0333900000000003,15.3657,0.17304394394159314,,
112,DL Hall,SP,0.5398436305347515,102.73899999999999,3.89679,1.28505,10.9937,5.57033,0.543568,3.8353300000000004,0.18485277891159055,55.0,
113,Joe Kelly,RP,0.5376021565843605,54.5709,3.7235300000000002,1.26613,11.7287,0.0,1.7999599999999998,14.0773,0.20229939371347427,,
114,Trevor Bauer,SP,0.3351585895621275,45.2901,3.90826,1.1860600000000001,9.78777,3.3408800000000003,0.0,0.0,0.181039497256279,,
115,Scott Barlow,RP,0.320372602073868,66.331,3.72975,1.2556100000000001,10.0863,0.0,3.43068,13.0224,0.1734577864408493,,
116,A.J. Puk,SP,0.2710019142202743,91.4776,3.98544,1.24355,10.3032,2.77145,3.04852,2.63682,0.1954016983509064,53.0,
117,Kenley Jansen,RP,0.2546473915956248,58.6819,3.98785,1.2509700000000001,10.7454,0.0,30.1206,0.6760390000000001,0.19008640199899676,,
118,Julian Merryweather,RP,0.17715080659174487,62.7298,3.85702,1.27652,11.0907,0.0,3.30151,15.277000000000001,0.19478581100702289,,
119,Garrett Whitlock,SP,0.16373255113069618,109.682,4.12317,1.2191299999999998,8.78495,4.65451,1.6846400000000001,3.78476,0.17943935096263885,58.0,
120,Tyler Holton,RP,0.10725367417405852,56.0539,3.58336,1.18191,8.11594,0.0,0.48927,9.47048,0.152677021920681,,
121,Ryan Walker,SP/RP,-0.0500264838416411,56.1057,3.6707199999999998,1.29237,10.3065,0.0,0.382216,5.40712,0.180388867855072,,
122,Chad Green,RP,-0.10480588947562276,49.9269,3.8551300000000004,1.17377,10.2938,0.0,1.29477,10.2643,0.20625029504299164,,
123,Cole Ragans,SP,-0.26065660117247913,160.313,3.88533,1.27983,9.65825,11.1283,0.0,0.014653600000000001,0.1570211797952652,9.0,27.0
124,Kenta Maeda,SP,-0.27489324537990845,131.915,4.20959,1.20645,9.285210000000001,8.41745,0.0,0.23583800000000002,0.18001624196767807,,76.0
125,Danny Coulombe,RP,-0.30500583015935145,54.5065,3.73967,1.27136,9.56207,0.0,1.3958899999999999,14.7242,0.1719464659690857,,
126,Hunter Greene,SP,-0.3748778689000325,149.23,4.194719999999999,1.2408299999999999,11.2657,10.3371,0.0,0.0,0.2072441205382347,54.0,33.0
127,John Means,SP,-0.4403491577470893,107.61399999999999,4.19224,1.18078,7.08444,7.10192,0.0,0.19880499999999998,0.13492905721068382,,93.0
128,John Schreiber,RP,-0.6509300766472015,58.4785,3.73259,1.2722200000000001,9.453330000000001,0.0,2.99707,13.1872,0.15637152642011642,,
129,Scott Alexander,SP/RP,-0.7206636658171719,46.4794,3.9322699999999995,1.28888,6.55028,0.0,0.536405,8.76056,0.10521712154150008,,
130,Abner Uribe,RP,-0.745512755895064,57.9159,3.4591199999999995,1.35579,11.7253,0.0,1.59115,14.2256,0.16087418794631958,,
131,Gavin Williams,SP,-0.7914202458810329,143.97,3.9593300000000005,1.25844,9.1764,9.1367,0.0,0.0,0.14858835190534592,39.0,54.0
132,Nick Pivetta,SP,-0.8079590934032408,160.711,4.2104,1.22699,10.2717,9.51547,0.280514,0.373147,0.18683454394340515,35.0,47.0
133,Tommy Kahnle,RP,-0.8179282416169706,46.5055,3.68974,1.23025,10.1201,0.0,1.9690900000000002,10.3053,0.17130429297685626,,
134,JoJo Romero,RP,-0.8971860864704166,52.9699,3.67958,1.22789,9.950289999999999,0.0,3.0497099999999997,8.97432,0.1810551881790161,,
135,Jonathan Loáisiga,RP,-0.9551535722871276,50.5897,3.73225,1.2267299999999999,7.289789999999999,0.0,3.23866,11.2505,0.1255747526884079,,
136,José Berríos,SP,-0.9646801771492172,174.304,4.14353,1.23045,8.43592,12.7221,0.0,0.0,0.15790099650621414,,49.0
137,Andrew Kittredge,RP,-1.1727273885091178,51.2334,3.7621300000000004,1.19757,7.651489999999999,0.0,2.72096,9.4213,0.15026411041617393,,
138,Sam Hentges,RP,-1.176004469507054,60.1728,3.65141,1.29611,9.666210000000001,0.0,0.5515770000000001,13.9348,0.16385851055383682,,
139,Eduardo Rodriguez,SP,-1.1775758094784377,162.713,3.9190400000000003,1.27518,8.49584,12.2128,0.0,0.0,0.14650464802980426,71.0,59.0
140,Merrill Kelly,SP,-1.1856561250440991,179.52700000000002,3.9894,1.26548,8.545630000000001,13.6539,0.0,0.0,0.1447199583053589,50.0,46.0
141,Brock Burke,RP,-1.3531043270176752,63.522,3.8802,1.21783,8.92375,0.0,0.369557,11.671,0.1725747063755989,,
142,Mark Leiter Jr.,RP,-1.4719239062156897,60.8684,4.03881,1.25055,10.0235,0.0,1.5097200000000002,14.3253,0.17645756900310516,,
143,David Robertson,RP,-1.5045564444767783,59.1203,3.8650800000000003,1.29125,10.2816,0.0,8.55765,10.683,0.1672748401761055,,
144,Nathan Eovaldi,SP,-1.5775607429549017,149.017,4.05549,1.2491,8.30685,10.8826,0.0,0.0,0.15036562830209732,38.0,51.0
145,Tyler Wells,SP,-1.6912762503685004,102.71700000000001,4.29424,1.19455,8.326080000000001,4.5955900000000005,0.49763500000000005,1.9933900000000002,0.1516813039779663,85.0,128.0
146,Ryan Brasier,RP,-1.6992396832498344,56.3686,4.10544,1.2299799999999999,8.914769999999999,0.0,0.864617,14.383,0.16327320039272308,,
147,Aaron Bummer,RP,-1.70812651006824,59.8083,3.7923,1.3150600000000001,10.8151,0.0,0.918708,14.8298,0.1735643371939659,,
148,Ian Hamilton,RP,-1.7114623863843246,59.8524,3.5811599999999997,1.2876299999999998,10.1484,0.0,1.61758,10.3753,0.1622212901711464,,
149,Orion Kerkering,RP,-1.7569168619526323,53.0839,3.75001,1.24317,10.3346,0.0,3.0672900000000003,8.677589999999999,0.1925648897886276,,
150,José Leclerc,RP,-1.7791451437852601,60.033,3.93146,1.30964,10.2514,0.0,19.9604,5.98726,0.15592829883098602,,
